dt = 2017-04-29 11:24:54.070728 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 59863436}
dt = 2017-04-29 11:25:29.467869 | collection_name = sessions | key = going_shuttles | new_value = - | filter_options = {'chat_id': 161441227}
dt = 2017-04-29 11:25:29.469390 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 161441227}
dt = 2017-04-29 11:25:35.455420 | collection_name = sessions | key = going_shuttles | new_value = - | filter_options = {'chat_id': 161441227}
dt = 2017-04-29 11:25:35.456531 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 161441227}
dt = 2017-04-29 11:27:18.798485 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 164488275}
dt = 2017-04-29 11:30:35.110099 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 161441227}
dt = 2017-04-29 11:30:43.802692 | collection_name = sessions | key = going_shuttles | new_value = - | filter_options = {'chat_id': 161441227}
dt = 2017-04-29 11:30:43.803796 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 161441227}
dt = 2017-04-29 11:30:50.117124 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 161441227}
dt = 2017-04-29 11:33:58.159172 | collection_name = sessions | key = going_shuttles | new_value = - | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:33:58.160572 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:33:59.493963 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:34:14.831575 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 252345243}
dt = 2017-04-29 11:37:55.229319 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 233784411}
dt = 2017-04-29 11:38:25.900032 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '14:37 29. | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:38:25.901005 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:38:27.322285 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:38:46.019721 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '14:37 29. | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:38:46.020939 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:38:47.212080 | collection_name = sessions | key = wanted_shuttle_id | new_value = 19477007 | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:38:47.215130 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:38:59.905377 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:39:07.057335 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '14:37 29. | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:39:07.058356 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:39:08.712713 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:44:02.539773 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 11:45:10.665220 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 2248920}
dt = 2017-04-29 11:47:22.257486 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 333744240}
dt = 2017-04-29 11:55:50.170858 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 68966535}
dt = 2017-04-29 11:58:40.273895 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:58:42.379854 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '14:56 29. | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:58:42.382128 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:58:51.160072 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201305167 | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:58:51.162429 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:58:55.611713 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 122757527}
dt = 2017-04-29 11:59:10.413623 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '14:56 29. | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:59:10.415581 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:59:19.340255 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201294759 | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:59:19.342576 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:59:32.601610 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '14:58 29. | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:59:32.603736 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:59:49.081097 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201294759 | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 11:59:49.083363 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 12:00:22.491607 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 85467904}
dt = 2017-04-29 12:01:17.235595 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:00 29. | filter_options = {'chat_id': 36400543}
dt = 2017-04-29 12:01:17.236744 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 36400543}
dt = 2017-04-29 12:01:38.956081 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:01 29. | filter_options = {'chat_id': 60313863}
dt = 2017-04-29 12:01:38.957251 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 60313863}
dt = 2017-04-29 12:02:36.405806 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:02:39.496212 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 330476074}
dt = 2017-04-29 12:02:55.446518 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:02 29. | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:02:55.448563 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:03:02.899795 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:02 29. | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:03:02.901841 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:03:05.410767 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201294759 | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:03:05.413269 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:03:08.665768 | collection_name = sessions | key = wanted_shuttle_id | new_value = 2814007 | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:03:08.669842 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:03:11.832261 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:02 29. | filter_options = {'chat_id': 330476074}
dt = 2017-04-29 12:03:11.834381 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 330476074}
dt = 2017-04-29 12:03:12.260916 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:02 29. | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:03:12.262562 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:03:15.554542 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 330476074}
dt = 2017-04-29 12:03:17.601093 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:02 29. | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:03:17.603135 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:03:20.200406 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:02 29. | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:03:20.202219 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:03:20.793610 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:02 29. | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:03:20.795645 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:03:22.845477 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201294759 | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:03:22.848136 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 74259761}
dt = 2017-04-29 12:03:23.789023 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201294759 | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:03:23.791653 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:03:32.561508 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:03:32.991390 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:03:36.180208 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:02 29. | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:03:36.182396 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:03:48.689036 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:02 29. | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 12:03:48.693217 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 12:03:50.611681 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201294759 | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 12:03:50.614018 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 112370226}
dt = 2017-04-29 12:03:51.832766 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201294759 | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:03:51.835167 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:03:54.887453 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:04:01.185289 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:03 29. | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:04:01.187045 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:04:26.338635 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201294759 | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:04:26.345254 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:04:44.852425 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:04:48.771632 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:04:57.585973 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:05:06.423747 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
